course_name,fin_aid_status,no_enrolled,no_reviews,skills,star_rating
Preparing for Your Retail Customer Service Role,Financial aid available,0,0,customer service|communication|resume creation,0.0
Preparing for Your Call Center Customer Service Role,Financial aid available,0,0,customer service|communication|resume creation,0.0
Satisfaction Guaranteed: Develop Customer Loyalty Online,Financial aid available,57874,1621,job preparedness|customer relationship management (crm)|portfolio preparation|e-commerce store optimization|building customer loyalty,4.8
Opportunity Management in Salesforce,Financial aid available,6578,128,crm|opportunity management|sales operations|salesforce lightning|salesforce,4.7
"Reports, Dashboards, and Customer Success in Salesforce",Financial aid available,10424,123,reports and dashboards|crm|sales operations|customer success|salesforce,4.7
Interacting with Customers,Financial aid available,0,0,customer service|communication|de-escalation|time management,0.0
Sales and CRM Overview,Financial aid available,41402,695,crm|sales operations|sales|salesforce sales cloud|salesforce,4.5
Lead Management in Salesforce,Financial aid available,10449,215,lead management|crm|sales operations|salesforce lightning|salesforce,4.7
Retail Customer Service,Financial aid available,0,0,customer service|social media|time management|completing retail transactions,0.0
Assess for Success: Marketing Analytics and Measurement,Financial aid available,73693,877,digital marketing kpis|spreadsheet management|presenting to stakeholders|media planning and strategies|marketing analytics,4.6
Introduction to Customer Service,Financial aid available,1627,12,active listening|communication|task prioritization|time management,4.8
"Make the Sale: Build, Launch, and Manage E-commerce Stores",Financial aid available,67807,737,fulfillment and delivery|website structure|e-commerce platforms|e-commerce strategy|seasonality,4.8
Attract and Engage Customers with Digital Marketing,Financial aid available,161943,3497,website structure|customer awareness|google|search engine marketing|search engine optimization (seo),4.8
From Likes to Leads: Interact with Customers Online,Financial aid available,98692,1805,social listening|social media bidding|customer engagement|social media analytics|social media branding,4.8
Foundations of Digital Marketing and E-commerce,Financial aid available,560199,13231,marketing|customer loyalty|e-commerce|marketing analytics|customer outreach,4.8
Think Outside the Inbox: Email Marketing,Financial aid available,81604,1214,email writing|email list segmentation|email marketing strategy|email marketing analytics|contact management,4.8
Sales Enablement,Financial aid available,4606,0,customer relationship management (crm)|content creation|customer success|sales|sales enablement,0.0
Back-end Application Development Capstone Project,Financial aid available,1600,10,docker|mongodb|flask|representational state transfer (rest)|django (web framework),5.0
Design a User Experience for Social Good & Prepare for Jobs,Financial aid available,118381,2515,user experience (ux)|usability testing|prototype|user experience design (uxd)|ux design jobs,4.9
DevOps Capstone Project,Financial aid available,5297,49,kubernetes|devops|ci/cd|microservices|cloud computing,4.9
Technical Support Case Studies and Capstone,Financial aid available,4395,87,networking setup|software configuration|technical support|troubleshooting|helpdesk ticketing systems,4.8
Continuous Integration and Continuous Delivery (CI/CD),Financial aid available,10258,96,continuous integration|ci/cd|continuous development|automation|infrastructure as code,4.8
 IT Security: Defense against the digital dark arts ,Financial aid available,337949,20198,cybersecurity|wireless security|cryptography|network security,4.8
Application Security and Monitoring,Financial aid available,7135,68,open web application security project (owasp)|observability|security|monitoring|logging,4.9
Introduction to Cybersecurity Essentials,Financial aid available,16092,336,information security (infosec)|cyberattacks|application security|cryptography|cybersecurity,4.9
Introduction to Cloud Computing,Financial aid available,217106,4156,cloud native|devops|iaas paas saas|hybrid multicloud|cloud computing,4.6
Introduction to Networking and Storage,Financial aid available,15203,266,cloud storage|network troubleshooting|network architecture|networking hardware|wireless networks,4.7
Operating Systems Fundamentals,Financial aid available,1932,0,performing basic linux tasks|user and group accounts|managing the file system in linux|managing linux permissions and ownership|managing jobs and processes,0.0
Coding Interview Preparation,Financial aid available,38291,226,pseudocode|algorithms|communication|data structure|computer science,4.7
Introduction to iOS Mobile Application Development,Financial aid available,26575,619,ios app development|application development|mobile development,4.7
Put It to Work: Prepare for Cybersecurity Jobs,Financial aid available,28597,406,job preparedness|stakeholder communication|integrity and discretion|escalation|resume and portfolio preparation,4.9
Introduction to Agile Development and Scrum,Financial aid available,41538,1227,agile software development|scrum methodology|zenhub|kanban|sprint planning,4.9
Project Management Capstone,Financial aid available,0,0,agile management|risk management|scrum (software development)|leadership|project management,0.0
Introduction to Software Engineering,Financial aid available,32210,376,software architecture|python programming|software development lifecycle (sdlc)|software engineering|agile and scrum,4.7
Coding Interview Preparation,Financial aid available,38291,226,pseudocode|algorithms|communication|data structure|computer science,4.7
Teach English Now! Capstone Project 2,Financial aid available,18145,922,,4.9
Introduction to Scrum Master Profession,Financial aid available,2488,18,scrum master|user story|product backlog|sprints|kanban,4.5
Back-End Developer Capstone ,Financial aid available,10607,50,django (web framework)|mysql|api endpoints,4.5
Teach English Now! Technology Enriched Teaching,Financial aid available,41024,1445,teaching|english language|lesson plan|plan,4.9
Information Technology (IT) Fundamentals for Everyone,Financial aid available,2126,19,information technology|operating systems|security|cloud computing|project management,4.8
Django Web Framework ,Financial aid available,21425,278,build a data model|design a web application,4.8
Introduction to Databases for Back-End Development,Financial aid available,23131,375,mysql|database (dbms)|database administration,4.6
The Full Stack,Financial aid available,22205,92,cascading style sheets (css)|html|production environments|javascript|django (web framework),4.6
APIs,Financial aid available,17383,143,debugging|authentication and authorization|rest apis|filtering and ordering|serializers and deserializers,4.5
